idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,extra_trees_preproc_for_classification:bootstrap,extra_trees_preproc_for_classification:criterion,extra_trees_preproc_for_classification:max_depth,extra_trees_preproc_for_classification:max_features,extra_trees_preproc_for_classification:min_samples_leaf,extra_trees_preproc_for_classification:min_samples_split,extra_trees_preproc_for_classification:n_estimators,fast_ica:algorithm,fast_ica:fun,fast_ica:n_components,fast_ica:whiten,feature_agglomeration:affinity,feature_agglomeration:linkage,feature_agglomeration:n_clusters,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kernel_pca:coef0,kernel_pca:degree,kernel_pca:gamma,kernel_pca:kernel,kernel_pca:n_components,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,pca:keep_variance,pca:whiten,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t
1,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,standard,,,,,,,,,2.3700611207598537e-06,,0.06533728461727917,True,0.4909583799330445,invscaling,log,424,elasticnet,0.1628309471415556
2,,,,,weighting,multinomial_nb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3113529847334248,True,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
3,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,51.42384245279719,auto,False,True,1,l2,ovr,l2,0.0045150938650555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,,,,,,normalize,,,,,,0.16605292192487062,fwe,f_classif,,,,,,,,,,
4,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,average,82,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6662303391850255,None,-0.6388677204077742,3,0.4148874503022906,poly,-1,False,0.0011637296306071549,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
5,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,0.72612061061388,4082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16337842076301395,True,hinge,1000,,,kitchen_sinks,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,
6,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,1.5446375844767635,6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,,,min/max,0.01021812388221276,True,0.00011992033935609257,,,,,,,,,,,,,,,
7,,,,,weighting,random_forest,,,,,,,,,,,,,,False,entropy,None,2.0019063735577274,14,7,100,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,True,entropy,None,4.2366703662958445,None,1,3,100,,,,,,standard,,,,,,,,,,,,,,,,,,
8,,,,,weighting,libsvm_svc,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,average,82,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6662303391850255,None,-0.6388677204077742,3,0.4148874503022906,poly,-1,False,0.0011637296306071549,,,,,,,,,,,,,,feature_agglomeration,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
9,,,,,none,extra_trees,,,,,,,False,gini,None,2.2851198894759532,18,6,100,,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,
10,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,,,normalize,0.0629593646644771,True,0.00041682621231378095,96.10202207180177,f_classif,,,,,,,,,,,,,
11,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,9.20295036447141,None,False,True,1,l2,ovr,l2,5.380993221222117e-05,,,,,,,,,,,,,,,,,0.00022025740580099257,True,hinge,642,,,liblinear_svc_preprocessor,,,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,
12,SAMME.R,0.9674213425293952,9,66,weighting,adaboost,,,,,,,,,,,,,,True,gini,None,3.540848453412128,7,15,100,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees_preproc_for_classification,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,
