@RELATION auto-sklearn_FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE MissingValues NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE ClassOccurences NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE NumSymbols NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC
@ATTRIBUTE Kurtosisses NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE Skewnesses NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE LandmarkLDA NUMERIC
@ATTRIBUTE LandmarkNaiveBayes NUMERIC
@ATTRIBUTE LandmarkDecisionTree NUMERIC
@ATTRIBUTE LandmarkDecisionNodeLearner NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE Landmark1NN NUMERIC
@ATTRIBUTE PCA NUMERIC
@ATTRIBUTE PCAFractionOfComponentsFor95PercentVariance NUMERIC
@ATTRIBUTE PCAKurtosisFirstPC NUMERIC
@ATTRIBUTE PCASkewnessFirstPC NUMERIC

@DATA
75236,1.0,0.0,0.0,8e-05,1e-05,0.0,0.00146,0.00072,1e-05,0.00044,2e-05,0.00034,0.0,2e-05,2e-05,4e-05,7e-05,2e-05,0.0,5e-05,1e-05,0.0002,5e-05,1e-05,4e-05,0.0001,0.0018,0.0,1e-05,0.00058,0.00111,9e-05,0.00034,5e-05,6e-05,7e-05,0.00016,0.00043,5e-05,9e-05,0.0001,0.00019,0.00053,0.33059,0.02666,0.10969,0.0187,0.02423,0.57364,0.00602,0.00013,0.00249,0.0034
75106,1.0,1e-05,0.0,0.00053,1e-05,0.0,0.0366,0.01994,1e-05,0.00826,2e-05,0.00844,0.0,2e-05,2e-05,4e-05,6e-05,3e-05,1e-05,6e-05,2e-05,0.00014,4e-05,1e-05,2e-05,8e-05,0.00036,0.0,0.0,7e-05,0.00021,7e-05,0.0004,8e-05,6e-05,8e-05,0.00018,0.00052,6e-05,0.00011,0.0001,0.00026,0.00852,8.14598,1.15908,16.86781,1.46268,0.38808,651.03645,0.10277,0.00018,0.0498,0.05279
75181,1.0,1e-05,0.0,0.00112,1e-05,0.0,0.0116,0.01083,1e-05,0.00068,1e-05,0.00011,0.0,1e-05,1e-05,3e-05,5e-05,1e-05,1e-05,3e-05,1e-05,0.00015,4e-05,1e-05,2e-05,8e-05,0.00051,0.0,0.0,0.00011,0.00032,7e-05,0.0003,4e-05,5e-05,5e-05,0.00015,0.00039,4e-05,7e-05,0.0001,0.00019,0.00826,0.51898,0.17671,0.99156,0.3426,0.19903,35.30133,0.00751,3e-05,0.00334,0.00413
75150,1.0,0.0,0.0,4e-05,0.0,0.0,0.00034,0.00029,1e-05,5e-05,1e-05,2e-05,0.0,1e-05,1e-05,2e-05,5e-05,1e-05,0.0,2e-05,1e-05,0.00012,3e-05,0.0,2e-05,6e-05,0.00043,0.0,0.0,9e-05,0.00027,6e-05,0.00023,4e-05,4e-05,5e-05,0.0001,0.00029,4e-05,5e-05,6e-05,0.00013,0.00031,0.01118,0.00584,0.0064,0.00451,0.01287,0.02566,0.00096,1e-05,0.00033,0.00062
288,1.0,1e-05,0.0,0.0001,1e-05,0.0,0.00179,0.00138,1e-05,0.00026,1e-05,0.00017,0.0,1e-05,1e-05,3e-05,5e-05,2e-05,1e-05,3e-05,1e-05,0.00012,3e-05,1e-05,2e-05,6e-05,0.00043,0.0,0.0,9e-05,0.00027,6e-05,0.00026,4e-05,5e-05,5e-05,0.00013,0.00034,4e-05,7e-05,8e-05,0.00016,0.00097,0.08394,0.01343,0.53201,0.06514,0.01699,0.83829,0.00187,5e-05,0.00063,0.00119
75173,1.0,0.0,0.0,0.00013,1e-05,0.0,0.00278,0.00252,1e-05,0.00022,1e-05,6e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,1e-05,3e-05,1e-05,0.00011,3e-05,0.0,2e-05,6e-05,0.00029,0.0,0.0,6e-05,0.00017,6e-05,0.00025,5e-05,4e-05,5e-05,0.00011,0.00031,4e-05,6e-05,7e-05,0.00014,0.00171,0.03429,0.01241,0.08243,0.0138,0.01787,0.27515,0.00894,3e-05,0.00051,0.0084
75093,1.0,1e-05,0.0,0.00015,1e-05,0.0,0.0033,0.00271,1e-05,0.00041,1e-05,0.0002,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,1e-05,3e-05,1e-05,0.00011,3e-05,0.0,2e-05,6e-05,0.0003,0.0,0.0,6e-05,0.00017,6e-05,0.00028,6e-05,5e-05,5e-05,0.00012,0.00034,4e-05,8e-05,7e-05,0.00015,0.00197,0.09271,0.01594,0.38167,0.04591,0.0182,0.60824,0.00208,3e-05,0.0007,0.00136
75191,1.0,1e-05,0.0,0.00142,2e-05,0.0,0.43216,0.35282,1e-05,0.05577,3e-05,0.02362,1e-05,1e-05,1e-05,3e-05,6e-05,2e-05,1e-05,6e-05,2e-05,0.00015,2e-05,1e-05,2e-05,0.0001,0.00057,0.0,0.0,0.0001,0.00033,0.00013,0.00034,4e-05,5e-05,6e-05,0.00018,0.00045,4e-05,6e-05,8e-05,0.00027,0.0172,3.68207,0.29727,73.09442,6.73124,0.19212,717.46008,0.02853,6e-05,0.01348,0.01498
75196,1.0,1e-05,0.0,4e-05,1e-05,0.0,0.00044,0.00035,1e-05,7e-05,1e-05,3e-05,0.0,1e-05,1e-05,3e-05,4e-05,1e-05,1e-05,2e-05,1e-05,0.00012,3e-05,0.0,2e-05,6e-05,0.00045,0.0,0.0,0.0001,0.00028,6e-05,0.00029,4e-05,6e-05,6e-05,0.00014,0.00032,4e-05,7e-05,7e-05,0.00015,0.00037,0.04104,0.00752,0.01888,0.01039,0.01794,0.06795,0.00155,3e-05,0.00047,0.00105
75115,1.0,1e-05,0.0,7e-05,1e-05,0.0,0.03961,0.01206,0.00033,0.01583,0.00037,0.01243,0.0,0.0004,0.00039,0.0008,0.00082,0.00071,1e-05,0.00074,1e-05,0.00011,2e-05,0.0,2e-05,6e-05,0.00041,0.0,0.0,9e-05,0.00025,6e-05,0.00212,0.00046,0.00049,0.00051,0.00065,0.00228,0.00049,0.00055,0.00055,0.0007,0.00039,11.38237,0.51335,34.97961,9.56459,0.13712,22.24004,0.05393,0.00049,0.02587,0.02757
