class,added,comment
<class 'sklearn.base.RegressorMixin'>,False,BaseClass
<class 'sklearn.calibration._SigmoidCalibration'>,,
<class 'sklearn.cross_decomposition.cca_.CCA'>,False,Is a preprocessing method
<class 'sklearn.cross_decomposition.pls_._PLS'>,False,Is a preprocessing method
<class 'sklearn.cross_decomposition.pls_.PLSCanonical'>,False,Is a preprocessing method
<class 'sklearn.cross_decomposition.pls_.PLSRegression'>,False,Is a preprocessing method
<class 'sklearn.dummy.DummyRegressor'>,False,See module name
<class 'sklearn.ensemble.bagging.BaggingRegressor'>,False,This can blow up the configuration space; because we need to define a configured base object. Maybe consider later.
<class 'sklearn.ensemble.forest.ExtraTreesRegressor'>,True,
<class 'sklearn.ensemble.forest.ForestRegressor'>,False,Is a base class
<class 'sklearn.ensemble.forest.RandomForestRegressor'>,True,
<class 'sklearn.ensemble.gradient_boosting.GradientBoostingRegressor'>,True,
<class 'sklearn.ensemble.weight_boosting.AdaBoostRegressor'>,True,
<class 'sklearn.gaussian_process.gaussian_process.GaussianProcess'>,True,Crashes when getting two similar inputs
<class 'sklearn.isotonic.IsotonicRegression'>,False,Calibration instead of prediction method
<class 'sklearn.kernel_ridge.KernelRidge'>,False,Add
<class 'sklearn.linear_model.base.LinearRegression'>,False,No
<class 'sklearn.linear_model.bayes.ARDRegression'>,False,Wait for Tobias' feedback
<class 'sklearn.linear_model.bayes.BayesianRidge'>,False,Wait for Tobias' feedback
<class 'sklearn.linear_model.coordinate_descent.ElasticNet'>,False,Wait for Tobias' feedback
<class 'sklearn.linear_model.coordinate_descent.ElasticNetCV'>,False,
<class 'sklearn.linear_model.coordinate_descent.Lasso'>,False,Wait for Tobias' feedback
<class 'sklearn.linear_model.coordinate_descent.LassoCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.coordinate_descent.MultiTaskElasticNet'>,False,MultiTask
<class 'sklearn.linear_model.coordinate_descent.MultiTaskElasticNetCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.coordinate_descent.MultiTaskLasso'>,False,MultiTask
<class 'sklearn.linear_model.coordinate_descent.MultiTaskLassoCV'>,False,MultiTask
<class 'sklearn.linear_model.least_angle.Lars'>,,No
<class 'sklearn.linear_model.least_angle.LarsCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.least_angle.LassoLars'>,,No
<class 'sklearn.linear_model.least_angle.LassoLarsCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.least_angle.LassoLarsIC'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.omp.OrthogonalMatchingPursuit'>,,
<class 'sklearn.linear_model.omp.OrthogonalMatchingPursuitCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.passive_aggressive.PassiveAggressiveRegressor'>,,
<class 'sklearn.linear_model.ransac.RANSACRegressor'>,,no
<class 'sklearn.linear_model.ridge.Ridge'>,True,
<class 'sklearn.linear_model.ridge.RidgeCV'>,False,We want to perform CV ourselves
<class 'sklearn.linear_model.stochastic_gradient.BaseSGDRegressor'>,False,
<class 'sklearn.linear_model.stochastic_gradient.SGDRegressor'>,,
<class 'sklearn.linear_model.tests.test_sgd.SparseSGDRegressor'>,FALSE,This regressor is inside a test module
<class 'sklearn.linear_model.theil_sen.TheilSenRegressor'>,,
<class 'sklearn.neighbors.regression.KNeighborsRegressor'>,True,
<class 'sklearn.neighbors.regression.RadiusNeighborsRegressor'>,False,Can crash when there is no neighbour within the radius
<class 'sklearn.svm.classes.LinearSVR'>,True,
<class 'sklearn.svm.classes.NuSVR'>,False,Mathematical idental to SVR
<class 'sklearn.svm.classes.SVR'>,True,
<class 'sklearn.tree.tree.DecisionTreeRegressor'>,TRUE,
<class 'sklearn.tree.tree.ExtraTreeRegressor'>,FALSE,Not to be used as a base regressor
