@RELATION auto-sklearn_FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC

@DATA
2117,1.0,0.7910540857685922,0.7623834988540871,0.5,0.2376165011459129,0.26238349885408707,0.000427807486631016,2337.5,1631.2506115272897,64.66939074792504,-1.9736172744130844,244.11794079633486,-7.7568372611628424,7.7568372611628424,2.6390573296152584,10.3958945907781,12.0,2.0,14.0,3.0,32725.0,2361.0,4259.0,2.0,0.21428571428571427,0.07214667685255921,0.009296082069191313,6.0,0.16666666666666666,40.413495413380026,4.914269627287659,-4.310256999966851,6.5129530554473005,40.0,9.833333333333334,2.0,9.872802146413257,118.0
2119,1.0,2.4940526537719916,0.31256281407035175,0.1,0.005025125628140704,0.11069543101462657,0.008040201005025126,124.375,96.17304992675781,23.531864548549933,0.2893359661102295,35.46151288239116,-4.823301195478757,4.823301195478757,2.0794415416798357,6.902742737158593,0.0,10.0,8.0,0.0,995.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.813753128051758,2.6837918125092983,-1.6282531023025513,3.9279508031488626,0.0,0.0,0.0,0.0,0.0
2120,1.0,2.484414522365837,0.2364817823160826,0.16666666666666666,0.10164771408679509,0.06161590379832766,0.008354606637270829,119.69444444444444,1.3040542602539062,-0.13356557157304552,-0.9316062927246094,0.8491372553780737,-4.784942199159728,4.784942199159728,3.58351893845611,8.368461137615839,0.0,6.0,36.0,0.0,4309.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.9143713712692261,0.0395210435316484,-0.6933404803276062,0.5607229881852779,0.0,0.0,0.0,0.0,0.0
2122,1.0,3.497851695876028,0.159857431641664,0.05555555555555555,0.0009043515267581658,0.052219832375173955,0.0003191828917969997,3133.0,11.298806880265056,3.0282903156414323,-1.9614748037271548,2.519464620205345,-8.049746290952191,8.049746290952191,1.791759469228055,9.841505760180247,6.0,18.0,6.0,0.0,18798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.646752922843149,2.141721906135836,0.19627836425048203,0.6643173883162412,8.0,6.666666666666667,4.0,1.885618083164127,40.0
2123,1.0,0.5357745087809012,0.9075723830734966,0.3333333333333333,0.0400890868596882,0.40607911946613345,0.017817371937639197,56.125,174.60559910414332,9.850328552864035,-1.708608284729022,36.0036292781064,-4.027581346062418,4.027581346062418,2.772588722239781,6.8001700683022,1.0,3.0,16.0,1.0,898.0,14.0,14.0,15.0,0.0625,0.015590200445434299,0.0009743875278396437,0.06666666666666667,15.0,13.289303936028528,1.6801786028438086,-1.7583330733177804,2.718055546646069,7.0,7.0,7.0,0.0,7.0
233,1.0,0.9992728962127292,0.5158730158730159,0.5,0.48412698412698413,0.0158730158730159,0.01680672268907563,59.5,2137.0004670714625,77.70423915330565,-1.9769886363636364,348.65018946842576,-4.085976312551584,4.085976312551584,3.58351893845611,7.669495251007694,36.0,2.0,36.0,0.0,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.24932936888342,0.05786334297491151,-46.24932936888342,8.927535549458508,3.0,2.0277777777777777,2.0,0.16433554953054486,73.0
2350,1.0,0.9429414898022113,0.6396884566011652,0.5,0.3603115433988348,0.13968845660116522,0.01235558408215661,80.93506493506493,-2.0,-2.3546453546453545,-3.0,0.47840571388082864,-4.3936471656969,4.3936471656969,6.90875477931522,11.302401945012122,0.0,2.0,1001.0,0.0,81016.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007992007992007992,-1.0,0.803299927276793,0.0,0.0,0.0,0.0,0.0
236,1.0,4.699283947859848,0.04119402985074627,0.038461538461538464,0.03455223880597015,0.0015347192175998684,0.0011940298507462687,837.5,2.0606601093625043,0.687462102209324,-0.4213283061981201,0.6633005081359233,-6.730421263699221,6.730421263699221,2.772588722239781,9.503009985939002,0.0,26.0,16.0,0.0,13400.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1601428985595703,0.29122443310916424,-0.31418532133102417,0.4512579958719407,0.0,0.0,0.0,0.0,0.0
242,1.0,3.3204194449080857,0.10671641791044777,0.1,0.09179104477611941,0.0045516270692468365,0.16119402985074627,6.203703703703703,1.477053165435791,-0.3205857796567269,-1.3955566883087158,0.5398937527411235,-1.8251464852607922,1.825146485260792,5.375278407684165,7.200424892944957,0.0,10.0,216.0,0.0,1340.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.813711404800415,0.01654886920651835,-1.0821112394332886,0.4219304165432562,0.0,0.0,0.0,0.0,0.0
244,1.0,3.3204194449080857,0.10671641791044777,0.1,0.09179104477611941,0.0045516270692468365,0.056716417910447764,17.63157894736842,1.9763150215148926,0.09945493936538696,-1.1362007856369019,0.6151257689036999,-2.869691552658626,2.869691552658626,4.330733340286331,7.200424892944957,0.0,10.0,76.0,0.0,1340.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0399093627929688,0.5415828621603156,-0.13419979810714722,0.24837603272535472,0.0,0.0,0.0,0.0,0.0
