@RELATION auto-sklearn_FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC

@DATA
2dplanes,1.0,0.9999998366087277,0.5002379644883763,0.5,0.4997620355116236,0.00023796448837634654,0.0003660992128866923,2731.5,-1.48943030834198,-1.551686882268986,-1.999910593032837,0.14956954983365164,-7.912606187835772,7.912606187835772,2.302585092994046,10.215191280829819,0.0,2.0,10.0,0.0,27315.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.012265032157301903,-0.00150359716208186,-0.014613804407417774,0.007474952587141453,0.0,0.0,0.0,0.0,0.0
abalone,1.0,3.597085274451187,0.1639871382636656,0.04347826086956523,0.0003572704537334762,0.05147945129474183,0.0028581636298678098,349.875,2.56860350243873,-0.10941447482072553,-1.7054785509664645,1.1681365447985153,-5.857575947835618,5.857575947835618,2.0794415416798357,7.937017489515454,1.0,23.0,8.0,0.0,2799.0,0.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285,7.0,0.8120693289662475,0.3321938783149318,-0.6392581075461572,0.5166976679139271,3.0,3.0,3.0,0.0,3.0
ailerons,1.0,0.9848915701664055,0.5722348854878976,0.5,0.4277651145121025,0.07223488548789755,0.004341691088679041,230.325,5698.538191428534,740.144265466086,-0.6337320804595947,1633.6225896555468,-5.4394913549949955,5.4394913549949955,3.6888794541139363,9.128370809108931,0.0,2.0,40.0,0.0,9213.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.3072898387908936,-3.7788516048736596,-72.79047393798828,15.302416045622047,0.0,0.0,0.0,0.0,0.0
amazon-commerce-reviews,1.0,5.629190919842449,0.024875621890547265,0.02,0.013930348258706468,0.0028301418215577897,9.950248756218905,0.1005,894.5879516601562,79.58845483953031,-0.7986182926438281,92.53854328586027,2.2975975514830065,-2.2975975514830065,9.210340371976184,6.912742820493176,0.0,50.0,10000.0,0.0,1005.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,29.331748962402344,7.210724351222255,-0.4952552914619446,4.5664333437731175,0.0,0.0,0.0,0.0,0.0
analcatdata_authorship,1.0,1.7932572500587163,0.38652482269503546,0.25,0.0673758865248227,0.12369483600418374,0.12411347517730496,8.057142857142857,24.03673553466797,2.40698286709281,-0.7877955436706543,4.146843162244955,-2.0865590094487,2.0865590094487,4.248495242049359,6.335054251498059,0.0,4.0,70.0,0.0,564.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,4.358205795288086,1.1108784163370728,0.013523628935217857,0.7210446086949281,0.0,0.0,0.0,0.0,0.0
analcatdata_dmft,1.0,2.577745150781682,0.18726591760299627,0.16666666666666666,0.14232209737827714,0.01660940661129847,0.00749063670411985,133.5,28.405888030888,4.305143862520999,-1.997979032461791,6.886009038932179,-4.894101477840304,4.894101477840304,1.3862943611198906,6.280395838960195,4.0,6.0,4.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514153428305019,2.113375458644774,-0.04495517254119864,1.356019186191327,9.0,5.25,2.0,2.8613807855648994,21.0
analcatdata_supreme,1.0,0.7891105695306428,0.7635359116022099,0.5,0.23646408839779007,0.2635359116022099,0.002578268876611418,387.85714285714283,73.55531311035156,16.68637976553081,-1.9872567653656006,27.129879511602553,-5.960637083312722,5.960637083312722,1.9459101490553132,7.906547232368036,0.0,2.0,7.0,0.0,2715.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.902724266052246,2.757092284304755,-0.14112046360969543,3.015080573813984,0.0,0.0,0.0,0.0,0.0
anneal,1.0,1.129851503889122,0.7757475083056479,0.2,0.006644518272425249,0.28988800389239916,0.06312292358803986,15.842105263157896,296.00333333333344,37.374157527014894,-3.0,68.27487495708435,-2.762671285582435,2.762671285582435,3.6375861597263857,6.400257445308821,32.0,5.0,38.0,29.0,602.0,602.0,14876.0,6.0,0.7631578947368421,1.0,0.6502885119776185,5.333333333333333,0.1875,17.26277304876981,1.5844308576069748,-17.26277304876981,6.07512057296313,7.0,1.84,1.0,1.3763720427268205,46.0
arsenic-female-bladder,1.0,0.6014353864290771,0.8533333333333334,0.5,0.14666666666666667,0.35333333333333333,0.010666666666666666,93.75,110.67007695834519,40.02884425976127,-1.2188394760817927,17.889312221411306,-4.54063166485052,4.54063166485052,1.3862943611198906,5.926926025970411,1.0,2.0,4.0,0.0,375.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,3.0,10.185897586256981,6.258641420852728,0.009162297125935918,1.6218732107584966,43.0,43.0,43.0,0.0,43.0
arsenic-female-lung,1.0,0.1773894531859974,0.9733333333333334,0.5,0.02666666666666667,0.47333333333333333,0.010666666666666666,93.75,110.67007695834519,40.02884425976127,-1.2188394760817927,17.889312221411306,-4.54063166485052,4.54063166485052,1.3862943611198906,5.926926025970411,1.0,2.0,4.0,0.0,375.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,3.0,10.185897586256981,6.258641420852728,0.009162297125935918,1.6218732107584966,43.0,43.0,43.0,0.0,43.0
