idx,imputation:strategy,one_hot_encoding:minimum_fraction,one_hot_encoding:use_minimum_fraction,preprocessor:__choice__,preprocessor:extra_trees_preproc_for_regression:bootstrap,preprocessor:extra_trees_preproc_for_regression:criterion,preprocessor:extra_trees_preproc_for_regression:max_depth,preprocessor:extra_trees_preproc_for_regression:max_features,preprocessor:extra_trees_preproc_for_regression:min_samples_leaf,preprocessor:extra_trees_preproc_for_regression:min_samples_split,preprocessor:extra_trees_preproc_for_regression:min_weight_fraction_leaf,preprocessor:extra_trees_preproc_for_regression:n_estimators,preprocessor:fast_ica:algorithm,preprocessor:fast_ica:fun,preprocessor:fast_ica:n_components,preprocessor:fast_ica:whiten,preprocessor:feature_agglomeration:affinity,preprocessor:feature_agglomeration:linkage,preprocessor:feature_agglomeration:n_clusters,preprocessor:feature_agglomeration:pooling_func,preprocessor:kernel_pca:coef0,preprocessor:kernel_pca:degree,preprocessor:kernel_pca:gamma,preprocessor:kernel_pca:kernel,preprocessor:kernel_pca:n_components,preprocessor:kitchen_sinks:gamma,preprocessor:kitchen_sinks:n_components,preprocessor:nystroem_sampler:coef0,preprocessor:nystroem_sampler:degree,preprocessor:nystroem_sampler:gamma,preprocessor:nystroem_sampler:kernel,preprocessor:nystroem_sampler:n_components,preprocessor:pca:keep_variance,preprocessor:pca:whiten,preprocessor:polynomial:degree,preprocessor:polynomial:include_bias,preprocessor:polynomial:interaction_only,preprocessor:random_trees_embedding:max_depth,preprocessor:random_trees_embedding:max_leaf_nodes,preprocessor:random_trees_embedding:min_samples_leaf,preprocessor:random_trees_embedding:min_samples_split,preprocessor:random_trees_embedding:min_weight_fraction_leaf,preprocessor:random_trees_embedding:n_estimators,preprocessor:select_percentile_regression:percentile,preprocessor:select_percentile_regression:score_func,regressor:__choice__,regressor:adaboost:learning_rate,regressor:adaboost:loss,regressor:adaboost:max_depth,regressor:adaboost:n_estimators,regressor:ard_regression:alpha_1,regressor:ard_regression:alpha_2,regressor:ard_regression:fit_intercept,regressor:ard_regression:lambda_1,regressor:ard_regression:lambda_2,regressor:ard_regression:n_iter,regressor:ard_regression:threshold_lambda,regressor:ard_regression:tol,regressor:decision_tree:criterion,regressor:decision_tree:max_depth,regressor:decision_tree:max_features,regressor:decision_tree:max_leaf_nodes,regressor:decision_tree:min_samples_leaf,regressor:decision_tree:min_samples_split,regressor:decision_tree:min_weight_fraction_leaf,regressor:decision_tree:splitter,regressor:extra_trees:bootstrap,regressor:extra_trees:criterion,regressor:extra_trees:max_depth,regressor:extra_trees:max_features,regressor:extra_trees:min_samples_leaf,regressor:extra_trees:min_samples_split,regressor:extra_trees:n_estimators,regressor:gaussian_process:nugget,regressor:gaussian_process:thetaL,regressor:gaussian_process:thetaU,regressor:gradient_boosting:alpha,regressor:gradient_boosting:learning_rate,regressor:gradient_boosting:loss,regressor:gradient_boosting:max_depth,regressor:gradient_boosting:max_features,regressor:gradient_boosting:max_leaf_nodes,regressor:gradient_boosting:min_samples_leaf,regressor:gradient_boosting:min_samples_split,regressor:gradient_boosting:min_weight_fraction_leaf,regressor:gradient_boosting:n_estimators,regressor:gradient_boosting:subsample,regressor:k_nearest_neighbors:n_neighbors,regressor:k_nearest_neighbors:p,regressor:k_nearest_neighbors:weights,regressor:liblinear_svr:C,regressor:liblinear_svr:dual,regressor:liblinear_svr:epsilon,regressor:liblinear_svr:fit_intercept,regressor:liblinear_svr:intercept_scaling,regressor:liblinear_svr:loss,regressor:liblinear_svr:tol,regressor:libsvm_svr:C,regressor:libsvm_svr:coef0,regressor:libsvm_svr:degree,regressor:libsvm_svr:epsilon,regressor:libsvm_svr:gamma,regressor:libsvm_svr:kernel,regressor:libsvm_svr:max_iter,regressor:libsvm_svr:shrinking,regressor:libsvm_svr:tol,regressor:random_forest:bootstrap,regressor:random_forest:criterion,regressor:random_forest:max_depth,regressor:random_forest:max_features,regressor:random_forest:max_leaf_nodes,regressor:random_forest:min_samples_leaf,regressor:random_forest:min_samples_split,regressor:random_forest:min_weight_fraction_leaf,regressor:random_forest:n_estimators,regressor:ridge_regression:alpha,regressor:ridge_regression:fit_intercept,regressor:ridge_regression:tol,regressor:sgd:alpha,regressor:sgd:average,regressor:sgd:epsilon,regressor:sgd:eta0,regressor:sgd:fit_intercept,regressor:sgd:l1_ratio,regressor:sgd:learning_rate,regressor:sgd:loss,regressor:sgd:n_iter,regressor:sgd:penalty,regressor:sgd:power_t,rescaling:__choice__
1,mean,0.01,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,1.0,None,1,2,0.0,100,,,,,,,,,,,,,,,min/max
2,mean,,False,fast_ica,,,,,,,,,deflation,cube,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaussian_process,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009523422808447861,0.00012464941966599892,2.311833852636026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standardize
3,most_frequent,0.17126250403118867,True,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaussian_process,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007369709482417261,0.0003542466650930109,1.3528944611163378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
4,median,,False,kitchen_sinks,,,,,,,,,,,,,,,,,,,,,,1.7066234187109417,936,,,,,,,,,,,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.598434567608803e-05,True,0.001179028768465858,,,,,,,,,,,,standardize
5,median,0.48739076883516486,True,random_trees_embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,None,1,13,1.0,32,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5073347189751859e-05,True,0.0387229040887209,,,,,,,,,,,,standardize
6,median,0.4347673978981241,True,kernel_pca,,,,,,,,,,,,,,,,,,,0.0526903509448651,rbf,279,,,,,,,,,,,,,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026626899542977304,True,5.9578188100059425e-05,,,,,,,,,,,,min/max
7,mean,,False,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,,,0.08624093541861358,rbf,183,,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13755995490531,,4,0.10225284690427631,0.346917257492084,rbf,-1,True,0.0010229847891082438,,,,,,,,,,,,,,,,,,,,,,,,min/max
8,median,,False,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,True,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mse,None,2.9218887084394387,None,3,2,0.0,100,,,,,,,,,,,,,,,none
9,median,0.0005200069594831246,True,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,False,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,4.776391596575882,None,4,8,0.0,100,,,,,,,,,,,,,,,standardize
10,most_frequent,0.00021620324041654335,True,nystroem_sampler,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027746274078499543,rbf,4602,,,,,,,,,,,,,,ridge_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002915289357645851,True,0.0029670113482398674,,,,,,,,,,,,standardize
11,mean,,False,feature_agglomeration,,,,,,,,,,,,,euclidean,ward,143,median,,,,,,,,,,,,,,,,,,,,,,,,,,liblinear_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.898514085461,False,0.005513636444710872,True,1,squared_epsilon_insensitive,4.385199656759961e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min/max
12,most_frequent,,False,feature_agglomeration,,,,,,,,,,,,,cosine,average,210,mean,,,,,,,,,,,,,,,,,,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,1.446951330060169,None,5,7,0.0,100,,,,,,,,,,,,,,,none
