idx,data_preprocessing:categorical_transformer:categorical_encoding:__choice__,data_preprocessing:categorical_transformer:category_coalescence:__choice__,data_preprocessing:categorical_transformer:category_coalescence:minority_coalescer:minimum_fraction,data_preprocessing:numerical_transformer:imputation:strategy,data_preprocessing:numerical_transformer:rescaling:__choice__,data_preprocessing:numerical_transformer:rescaling:quantile_transformer:n_quantiles,data_preprocessing:numerical_transformer:rescaling:quantile_transformer:output_distribution,data_preprocessing:numerical_transformer:rescaling:robust_scaler:q_max,data_preprocessing:numerical_transformer:rescaling:robust_scaler:q_min,feature_preprocessor:__choice__,feature_preprocessor:extra_trees_preproc_for_regression:bootstrap,feature_preprocessor:extra_trees_preproc_for_regression:criterion,feature_preprocessor:extra_trees_preproc_for_regression:max_depth,feature_preprocessor:extra_trees_preproc_for_regression:max_features,feature_preprocessor:extra_trees_preproc_for_regression:max_leaf_nodes,feature_preprocessor:extra_trees_preproc_for_regression:min_samples_leaf,feature_preprocessor:extra_trees_preproc_for_regression:min_samples_split,feature_preprocessor:extra_trees_preproc_for_regression:min_weight_fraction_leaf,feature_preprocessor:extra_trees_preproc_for_regression:n_estimators,feature_preprocessor:fast_ica:algorithm,feature_preprocessor:fast_ica:fun,feature_preprocessor:fast_ica:n_components,feature_preprocessor:fast_ica:whiten,feature_preprocessor:feature_agglomeration:affinity,feature_preprocessor:feature_agglomeration:linkage,feature_preprocessor:feature_agglomeration:n_clusters,feature_preprocessor:feature_agglomeration:pooling_func,feature_preprocessor:kernel_pca:coef0,feature_preprocessor:kernel_pca:degree,feature_preprocessor:kernel_pca:gamma,feature_preprocessor:kernel_pca:kernel,feature_preprocessor:kernel_pca:n_components,feature_preprocessor:kitchen_sinks:gamma,feature_preprocessor:kitchen_sinks:n_components,feature_preprocessor:nystroem_sampler:coef0,feature_preprocessor:nystroem_sampler:degree,feature_preprocessor:nystroem_sampler:gamma,feature_preprocessor:nystroem_sampler:kernel,feature_preprocessor:nystroem_sampler:n_components,feature_preprocessor:pca:keep_variance,feature_preprocessor:pca:whiten,feature_preprocessor:polynomial:degree,feature_preprocessor:polynomial:include_bias,feature_preprocessor:polynomial:interaction_only,feature_preprocessor:random_trees_embedding:bootstrap,feature_preprocessor:random_trees_embedding:max_depth,feature_preprocessor:random_trees_embedding:max_leaf_nodes,feature_preprocessor:random_trees_embedding:min_samples_leaf,feature_preprocessor:random_trees_embedding:min_samples_split,feature_preprocessor:random_trees_embedding:min_weight_fraction_leaf,feature_preprocessor:random_trees_embedding:n_estimators,feature_preprocessor:select_percentile_regression:percentile,feature_preprocessor:select_percentile_regression:score_func,feature_preprocessor:select_rates_regression:alpha,feature_preprocessor:select_rates_regression:mode,feature_preprocessor:select_rates_regression:score_func,regressor:__choice__,regressor:adaboost:learning_rate,regressor:adaboost:loss,regressor:adaboost:max_depth,regressor:adaboost:n_estimators,regressor:ard_regression:alpha_1,regressor:ard_regression:alpha_2,regressor:ard_regression:fit_intercept,regressor:ard_regression:lambda_1,regressor:ard_regression:lambda_2,regressor:ard_regression:n_iter,regressor:ard_regression:threshold_lambda,regressor:ard_regression:tol,regressor:decision_tree:criterion,regressor:decision_tree:max_depth_factor,regressor:decision_tree:max_features,regressor:decision_tree:max_leaf_nodes,regressor:decision_tree:min_impurity_decrease,regressor:decision_tree:min_samples_leaf,regressor:decision_tree:min_samples_split,regressor:decision_tree:min_weight_fraction_leaf,regressor:extra_trees:bootstrap,regressor:extra_trees:criterion,regressor:extra_trees:max_depth,regressor:extra_trees:max_features,regressor:extra_trees:max_leaf_nodes,regressor:extra_trees:min_impurity_decrease,regressor:extra_trees:min_samples_leaf,regressor:extra_trees:min_samples_split,regressor:extra_trees:min_weight_fraction_leaf,regressor:gaussian_process:alpha,regressor:gaussian_process:thetaL,regressor:gaussian_process:thetaU,regressor:gradient_boosting:early_stop,regressor:gradient_boosting:l2_regularization,regressor:gradient_boosting:learning_rate,regressor:gradient_boosting:loss,regressor:gradient_boosting:max_bins,regressor:gradient_boosting:max_depth,regressor:gradient_boosting:max_leaf_nodes,regressor:gradient_boosting:min_samples_leaf,regressor:gradient_boosting:n_iter_no_change,regressor:gradient_boosting:scoring,regressor:gradient_boosting:tol,regressor:gradient_boosting:validation_fraction,regressor:k_nearest_neighbors:n_neighbors,regressor:k_nearest_neighbors:p,regressor:k_nearest_neighbors:weights,regressor:liblinear_svr:C,regressor:liblinear_svr:dual,regressor:liblinear_svr:epsilon,regressor:liblinear_svr:fit_intercept,regressor:liblinear_svr:intercept_scaling,regressor:liblinear_svr:loss,regressor:liblinear_svr:tol,regressor:libsvm_svr:C,regressor:libsvm_svr:coef0,regressor:libsvm_svr:degree,regressor:libsvm_svr:epsilon,regressor:libsvm_svr:gamma,regressor:libsvm_svr:kernel,regressor:libsvm_svr:max_iter,regressor:libsvm_svr:shrinking,regressor:libsvm_svr:tol,regressor:random_forest:bootstrap,regressor:random_forest:criterion,regressor:random_forest:max_depth,regressor:random_forest:max_features,regressor:random_forest:max_leaf_nodes,regressor:random_forest:min_impurity_decrease,regressor:random_forest:min_samples_leaf,regressor:random_forest:min_samples_split,regressor:random_forest:min_weight_fraction_leaf,regressor:sgd:alpha,regressor:sgd:average,regressor:sgd:epsilon,regressor:sgd:eta0,regressor:sgd:fit_intercept,regressor:sgd:l1_ratio,regressor:sgd:learning_rate,regressor:sgd:loss,regressor:sgd:penalty,regressor:sgd:power_t,regressor:sgd:tol
3,one_hot_encoding,minority_coalescer,0.0038497644634519555,mean,robust_scaler,,,0.8958497373808905,0.23879291449358495,select_percentile_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07759095016569,f_regression,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mae,None,0.12706392422048776,None,0.0,18,4,0.0,,,,,,,,,,,
4,one_hot_encoding,no_coalescense,,mean,minmax,,,,,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,0.1016055928364922,0.015365670398707886,least_squares,255,None,1139,42,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,no_encoding,no_coalescense,,mean,robust_scaler,,,0.985601791913288,0.297041238998808,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,0.0420112594200902,0.09300036024496527,least_squares,255,None,50,1,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,one_hot_encoding,no_coalescense,,mean,quantile_transformer,1148,uniform,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,False,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,0.0015267697449259296,0.039455349719644095,least_squares,255,None,16,60,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,one_hot_encoding,minority_coalescer,0.0010496922960195301,median,none,,,,,select_rates_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000161352174136,fwe,f_regression,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,1.865924462009122e-10,0.07143958196628816,least_squares,255,None,21,18,19,loss,1e-07,0.13932083111821358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,no_encoding,minority_coalescer,0.014992484345102402,median,standardize,,,,,fast_ica,,,,,,,,,,deflation,exp,355,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,7.84147265079897e-10,0.09340646081793597,least_squares,255,None,15,31,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,no_encoding,no_coalescense,,median,quantile_transformer,951,uniform,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,True,True,,,,,,,,,,,,,libsvm_svr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.753218520439,,5,0.0940649192675126,0.1602915318777968,rbf,-1,True,3.405603488921193e-05,,,,,,,,,,,,,,,,,,,,
21,one_hot_encoding,minority_coalescer,0.01718008804117053,mean,robust_scaler,,,0.7108658167183659,0.22299666622652975,fast_ica,,,,,,,,,,parallel,exp,571,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,True,mse,None,1.0,None,0.0,8,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,one_hot_encoding,minority_coalescer,0.017725328649933626,mean,none,,,,,no_preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,1.0,None,0.0,1,2,0.0,,,,,,,,,,,
25,no_encoding,minority_coalescer,0.010000000000000004,median,robust_scaler,,,0.9130578580744518,0.22136890934905828,fast_ica,,,,,,,,,,deflation,cube,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gradient_boosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,1.3910284684127046e-10,0.05190243533131611,least_squares,255,None,28,34,,loss,1e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,one_hot_encoding,minority_coalescer,0.011752721213805203,mean,minmax,,,,,feature_agglomeration,,,,,,,,,,,,,,manhattan,complete,241,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mse,None,0.9380029185370948,None,0.0,1,2,0.0,,,,,,,,,,,
31,no_encoding,minority_coalescer,0.00898898356693938,median,minmax,,,,,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,True,,,,,,,,,,,,,extra_trees,,,,,,,,,,,,,,,,,,,,,False,friedman_mse,None,0.9124887927767604,None,0.0,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
