idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
1,,,,,none,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,standard,,,,,,,,,2.3700611207598537e-06,,0.06533728461727917,True,0.4909583799330445,invscaling,log,424,elasticnet,0.1628309471415556,
2,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,1.110982626638879,None,2,15,100,min/max,,,,,,,,,,,,,,,,,,,
3,,,,,weighting,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,1.1776001601005561,None,False,True,1,l2,ovr,l2,0.017370502624962942,56.8804975494496,None,False,True,1,l2,ovr,l2,0.003876415699636574,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
4,,,,,none,passive_aggresive,,,,,,,,,,,,,,,,,,,,,median,,,,,,0.72612061061388,4082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16337842076301395,True,hinge,1000,kitchen_sinks,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
5,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.5446375844767635,6933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.01021812388221276,True,0.00011992033935609257,,,,,,,,,,,,,,,,
6,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
7,,,,,none,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,506.64037894499427,None,False,True,1,l2,ovr,l2,3.274202638731594e-05,,,,,,,,,,,,,,,,,,,,,,,,cosine,885,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
8,,,,,none,libsvm_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.13664964332523,auto,,,0.2357820932569907,rbf,-1,False,0.0010012317204771057,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
9,,,,,weighting,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,2.3633059052612095,None,8,20,100,min/max,,,,,,,,,,,,,,,,,,,
10,,,,,weighting,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013989286230799588,rbf,2939,,,,,nystroem_sampler,,,,,,,,,,,none,0.09431757027684076,True,0.00025720991925435883,,,,,,,,,,,,,,,,
