@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE mean_squared_error NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
laser,1.0,2,31.615490772727696,ok
delta_elevators,1.0,6,2.0511089573963495e-06,ok
sensory,1.0,7,0.4042077091520456,ok
debutanizer,1.0,10,0.0035368504807466645,ok
puma8nh,1.0,13,9.733963708151052,ok
weather_izmir,1.0,17,0.9905722067536115,ok
quake,1.0,19,0.03239469195176319,ok
crimecommunitynums2,1.0,23,88.05438890875868,ok
puma32h,1.0,26,3.410000599141684e-05,ok
analcatdata_supreme,1.0,28,0.006962102903978463,ok
brazilian_houses,1.0,31,85.15318616323438,ok
pm10,1.0,34,0.44934547797729707,ok
house_8l,1.0,39,771687248.5769066,ok
arsenic-male-lung,1.0,40,33.89114827228542,ok
era,1.0,43,2.380458656405652,ok
balloon,1.0,48,0.0055810182382510145,ok
buzzinsocialmedia_twitter,1.0,50,34646.1983092084,ok
bank8fm,1.0,54,0.0008377266560400016,ok
strikes,1.0,57,230080.23191624705,ok
geographicaloriginalofmusic,1.0,58,0.20409733885898682,ok
diamonds,1.0,63,269586.46545829816,ok
topo_2_1,1.0,66,0.0007208595950466253,ok
no2,1.0,67,0.2362480904197728,ok
analcatdata_hiroshima,1.0,70,14.989492239660619,ok
kin8nm,1.0,73,0.004806437323539921,ok
space_ga,1.0,77,0.010157755288722937,ok
wind,1.0,79,9.163346513080612,ok
fried,1.0,82,1.0513866494556194,ok
rmftsa_ladata,1.0,86,2.8296774856870686,ok
cpu_small,1.0,89,6.701953522380587,ok
arsenic-female-bladder,1.0,92,4.5874144185127985,ok
dataset_sales,1.0,95,8.025860594501989,ok
stock,1.0,98,0.4289746413977382,ok
meta,1.0,101,1534223.3233365854,ok
2dplanes,1.0,102,1.00906277498459,ok
yolanda,1.0,105,76.74257664032731,ok
houses,1.0,107,2097512574.8308458,ok
fps-in-video-games,1.0,110,2372.1116165468525,ok
bank32nh,1.0,115,0.006584040730041425,ok
disclosure_z,1.0,117,406551402.0762249,ok
titanic,1.0,119,1711.041574548073,ok
boston_corrected,1.0,124,8.827776006991016,ok
visualizing_soil,1.0,126,0.0014030164854437039,ok
house_sales_reduced,1.0,128,12241501308.878351,ok
disclosure_x_noise,1.0,132,857967284.8348622,ok
crimecommunitynums,1.0,136,87.39769181232998,ok
fri_c4_500_100,1.0,138,0.0390767206902902,ok
boston,1.0,140,6.658813815943982,ok
delays_zurich_transport,1.0,144,10713.000654073294,ok
moneyball,1.0,148,438.0380043496511,ok
wine_quality,1.0,150,0.35739750667741516,ok
house_prices_nominal,1.0,153,508754903.5887593,ok
mv,1.0,156,0.0008799940585557548,ok
ele-2,1.0,158,4020.3659324562022,ok
newfuelcar,1.0,160,0.050947805593055305,ok
fri_c0_500_10,1.0,163,0.04670502211474906,ok
medical_charges_nominal,1.0,168,1131488.5020271146,ok
swd,1.0,171,0.3614927759034847,ok
pollen,1.0,174,2.0843966227915707,ok
treasury,1.0,176,0.03182942365332456,ok
onlinenewspopularity,1.0,179,128565788.01591173,ok
house_sales,1.0,182,11260521418.566418,ok
abalone,1.0,184,4.46831533286935,ok
mauna-loa-atmospheric-co2,1.0,186,0.15975852678238087,ok
arsenic-female-lung,1.0,191,8.991241466464672,ok
black_friday,1.0,193,11977467.17742173,ok
fri_c4_500_25,1.0,197,0.018385994554573376,ok
cpu_act,1.0,199,4.710962990246658,ok
bike_sharing_demand,1.0,201,1492.4465461537588,ok
nyc-taxi-green-dec-2016,1.0,204,2.7605213752105007,ok
house_16h,1.0,207,836840943.0220721,ok
elevators,1.0,211,4.281407235367453e-06,ok
socmob,1.0,214,105.22942668194636,ok
stock_fardamento02,1.0,217,145.85541206831405,ok
airlines_depdelay_1m,1.0,221,793.9498489996365,ok
yprop_4_1,1.0,224,0.0006909371686058036,ok
pol,1.0,225,9.49933491985103,ok
allstate_claims_severity,1.0,228,3573293.6622080347,ok
disclosure_x_bias,1.0,232,418648608.28618276,ok
fri_c1_500_10,1.0,235,0.021062210815300752,ok
fri_c1_1000_10,1.0,237,0.018909834409790542,ok
fri_c3_1000_50,1.0,240,0.022048466172038622,ok
fri_c3_1000_25,1.0,245,0.021932892489169395,ok
cps_85_wages,1.0,247,14.850664107206557,ok
seattlecrime6,1.0,251,121578.61875321176,ok
mercedes_benz_greener_manufacturing,1.0,252,79.0647903964167,ok
mtp,1.0,257,0.012319619829298366,ok
lev,1.0,258,0.4448332975383039,ok
fri_c0_1000_10,1.0,262,0.04488643750881701,ok
forest_fires,1.0,266,10396.952175905923,ok
disclosure_x_tampered,1.0,268,865617229.1172752,ok
fri_c3_500_10,1.0,270,0.020895644556615342,ok
rainfall_bangladesh,1.0,274,15302.581829298279,ok
arsenic-male-bladder,1.0,276,50.9212901097298,ok
sulfur,1.0,279,0.00030562475308655053,ok
fri_c4_1000_100,1.0,282,0.020703398704104457,ok
ailerons,1.0,285,2.4764102587696984e-08,ok
