idx,adaboost:algorithm,adaboost:base_estimator,adaboost:learning_rate,adaboost:n_estimators,classifier,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:metric,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,liblinear:C,liblinear:class_weight,liblinear:dual,liblinear:fit_intercept,liblinear:intercept_scaling,liblinear:loss,liblinear:multi_class,liblinear:penalty,liblinear:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,pca:keep_variance,pca:whiten,preprocessor,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,random_trees_embedding:max_depth,random_trees_embedding:max_leaf_nodes,random_trees_embedding:min_samples_leaf,random_trees_embedding:min_samples_split,random_trees_embedding:n_estimators,rescaling:strategy,select_percentile_classification:percentile,select_percentile_classification:score_func,sgd:alpha,sgd:class_weight,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,sparse_filtering:N,sparse_filtering:maxiter,truncatedSVD:target_dim
1,,,,,liblinear,,,,,,,,,,,,,,,median,,,,,,,,,0.048750287176480514,auto,False,True,1,l2,ovr,l2,0.009351211466274338,,,,,,,,,,,,0.9999972158046955,True,pca,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
2,,,,,libsvm_svc,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,88.46517644597157,None,0.8619767423266476,5,0.14790571339347416,poly,-1,True,0.0015599912784575642,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.68763323683521,chi2,,,,,,,,,,,,,,
3,,,,,gaussian_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
4,,,,,liblinear,,,,,,,,,,,,,,,mean,,,,,,,,,0.03336367584143919,auto,False,True,1,l2,ovr,l2,0.030412821882299296,,,,,,,,,,,,,,random_trees_embedding,,,,,,,,,4,None,1,2,100,standard,,,,,,,,,,,,,,,,
5,,,,,sgd,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.30984924389602,f_classif,1.3074050779191612e-07,auto,1.514352500623851e-05,0.057790273537634704,True,0.42747358029564775,invscaling,modified_huber,766,elasticnet,0.312692585367853,,,
6,,,,,extra_trees,False,gini,None,3.209330672781255,1,4,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.66306867320424,chi2,,,,,,,,,,,,,,
7,SAMME.R,None,0.998287967469171,50,adaboost,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
8,,,,,gradient_boosting,,,,,,,,0.4729259633222948,4,4.615130974725923,20,6,100,0.9352520523511226,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,,,,min/max,89.23710759279469,f_classif,,,,,,,,,,,,,,
9,,,,,gaussian_nb,,,,,,,,,,,,,,,median,,,,,,,1.3039464790939146,60,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
10,,,,,random_forest,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,False,entropy,None,1.9795573735482825,None,1,4,100,,,,,,min/max,89.12430488026581,f_classif,,,,,,,,,,,,,,
11,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,median,auto,30,minkowski,96,2,uniform,,,,,,,,,,,,,,,,,,,,,,,0.9990666553969895,False,pca,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
12,,,,,k_nearest_neighbors,,,,,,,,,,,,,,,mean,auto,30,minkowski,1,2,uniform,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,
13,,,,,extra_trees,False,entropy,None,3.8192643400678437,1,5,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,
14,,,,,multinomial_nb,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05142029489388058,True,,,random_trees_embedding,,,,,,,,,10,None,1,15,38,min/max,,,,,,,,,,,,,,,,
