@RELATION auto-sklearn_FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ClassEntropy NUMERIC
@ATTRIBUTE ClassProbabilityMax NUMERIC
@ATTRIBUTE ClassProbabilityMean NUMERIC
@ATTRIBUTE ClassProbabilityMin NUMERIC
@ATTRIBUTE ClassProbabilitySTD NUMERIC
@ATTRIBUTE DatasetRatio NUMERIC
@ATTRIBUTE InverseDatasetRatio NUMERIC
@ATTRIBUTE KurtosisMax NUMERIC
@ATTRIBUTE KurtosisMean NUMERIC
@ATTRIBUTE KurtosisMin NUMERIC
@ATTRIBUTE KurtosisSTD NUMERIC
@ATTRIBUTE LandmarkRandomNodeLearner NUMERIC
@ATTRIBUTE LogDatasetRatio NUMERIC
@ATTRIBUTE LogInverseDatasetRatio NUMERIC
@ATTRIBUTE LogNumberOfFeatures NUMERIC
@ATTRIBUTE LogNumberOfInstances NUMERIC
@ATTRIBUTE NumberOfCategoricalFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfFeaturesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE RatioNominalToNumerical NUMERIC
@ATTRIBUTE RatioNumericalToNominal NUMERIC
@ATTRIBUTE SkewnessMax NUMERIC
@ATTRIBUTE SkewnessMean NUMERIC
@ATTRIBUTE SkewnessMin NUMERIC
@ATTRIBUTE SkewnessSTD NUMERIC
@ATTRIBUTE SymbolsMax NUMERIC
@ATTRIBUTE SymbolsMean NUMERIC
@ATTRIBUTE SymbolsMin NUMERIC
@ATTRIBUTE SymbolsSTD NUMERIC
@ATTRIBUTE SymbolsSum NUMERIC

@DATA
75123,1.0,1.5838173169544254,0.34941050375133975,0.3333333333333333,0.3168988924615934,0.013275213715711536,0.0028581636298678098,349.875,2.5686035024387293,-0.10941447482072535,-1.7054785509664645,1.168136544798515,0.5552044467160746,-5.857575947835618,5.857575947835618,2.0794415416798357,7.937017489515454,0.0,3.0,8.0,0.0,2799.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8120693289662478,0.3321938783149319,-0.6392581075461572,0.5166976679139271,0.0,0.0,0.0,0.0,0.0
75090,1.0,3.3160845033334043,0.11187607573149742,0.1,0.08734939759036145,0.009001655351019641,0.3373493975903614,2.9642857142857144,2319.00048828125,305.75193850221825,-1.8202139139175415,648.6718011976562,0.13812662217278457,-1.086636097621394,1.086636097621394,6.664409020350408,7.751045117971802,0.0,10.0,784.0,0.0,2324.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,48.176761627197266,9.888953188671211,-0.22106248140335083,14.196927369074427,0.0,0.0,0.0,0.0,0.0
2123,1.0,0.5357745087809012,0.9075723830734966,0.3333333333333333,0.0400890868596882,0.40607911946613345,0.017817371937639197,56.125,174.6055991041434,9.850328552864038,-1.7086082847290225,36.003629278106416,0.9019801365611422,-4.027581346062418,4.027581346062418,2.772588722239781,6.8001700683022,0.0,3.0,16.0,1.0,898.0,14.0,14.0,16.0,0.0625,0.015590200445434299,0.0009743875278396437,0.0,0.0,13.289303936028535,1.6801786028438093,-1.75833307331778,2.71805554664607,0.0,0.0,0.0,0.0,0.0
248,1.0,3.3204194449080857,0.10671641791044777,0.1,0.09179104477611941,0.0045516270692468365,0.004477611940298508,223.33333333333334,0.36544975410689196,-0.5030905089347197,-1.0746681690216064,0.4676294160466976,0.1962686567164179,-5.408665423716902,5.4086654237169025,1.791759469228055,7.200424892944957,0.0,10.0,6.0,0.0,1340.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0184334516525269,0.5197598952800035,-0.04600130394101143,0.3348736136999181,0.0,0.0,0.0,0.0,0.0
75101,1.0,0.997248526884205,0.5308703991232075,0.5,0.4691296008767924,0.030870399123207576,0.00042621852832831005,2346.214285714286,62.450645446777344,8.002588322591597,-1.8612291482041396,15.030170655784056,0.5308704784009555,-7.760558365926276,7.760558365926276,3.332204510175204,11.09276287610148,0.0,2.0,28.0,0.0,65694.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,5.957284927368164,1.3670649971910669,-0.011266437359154224,1.64295884720638,0.0,0.0,0.0,0.0,0.0
75191,1.0,0.9999903059746675,0.5018329445269185,0.5,0.4981670554730815,0.0018329445269185118,0.0015148301875359772,660.14,119.7225621439409,34.05948261289972,-1.437715368468124,34.93402168312027,0.5762717482035586,-6.492451933738069,6.492451933738069,4.605170185988092,11.09762211972616,0.0,2.0,100.0,0.0,66014.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.917529582977295,3.379887844659388,-1.4308745861053467,2.1886232471756175,0.0,0.0,0.0,0.0,0.0
75187,1.0,0.9999323884709617,0.5048406615570795,0.5,0.49515933844292054,0.00484066155707949,0.004033884630899556,247.9,0.04207873344421387,-0.060049247741699216,-0.15761899948120117,0.05037977648468641,0.686972063083884,-5.513025439041145,5.513025439041145,2.995732273553991,8.508757712595136,0.0,2.0,20.0,0.0,4958.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.07060055434703827,0.01871069901390001,-0.03866676986217499,0.028014709840556862,0.0,0.0,0.0,0.0,0.0
266,1.0,2.8062132858644824,0.15310077519379844,0.14285714285714285,0.1375968992248062,0.0057097483566843936,0.01227390180878553,81.47368421052632,357.4897766113281,40.173612151728975,-1.1978819370269775,94.69604081037329,0.26808017538365175,-4.400280074983232,4.400280074983232,2.9444389791664403,7.344719054149673,0.0,7.0,19.0,0.0,1548.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,17.649829864501953,3.3878342488573656,-0.8537150621414185,4.9198904379525175,0.0,0.0,0.0,0.0,0.0
253,1.0,1.5444914617609067,0.42249240121580545,0.3333333333333333,0.23302938196555217,0.07774837720399183,0.00911854103343465,109.66666666666667,49.851909184726516,4.003132312924181,-1.9836363636363639,11.02809340187149,0.42248884786955854,-4.697445462097262,4.697445462097262,2.1972245773362196,6.894670039433482,0.0,3.0,9.0,0.0,987.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.200826979224433,1.2527294318515318,-3.227830434902007,2.0732231871935247,0.0,0.0,0.0,0.0,0.0
75217,1.0,2.8960514990117456,0.27017543859649124,0.09999999999999999,0.02666666666666667,0.07919089146785949,0.02456140350877193,40.714285714285715,232.50423950007348,15.381813751143882,-1.3564152717590332,40.90688544552689,0.27368421052631575,-3.7065790312133373,3.7065790312133373,3.5553480614894135,7.261927092702751,0.0,10.0,35.0,0.0,1425.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,15.313532829284668,2.3342307097544626,-0.9915812015533447,3.1275791957911725,0.0,0.0,0.0,0.0,0.0
